,Unnamed: 0,School ID,City,Zip Code,2018 Rank,2018 Rank Stars,2018 Rank Level,2018 Avg Score,School Level
244,44,340735002760,Hoboken,7030,201,4,Elementary,83.40661,Elementary
245,45,341464003588,Parlin,8859,201,4,Elementary,83.40661,Elementary
246,46,341395000800,River Vale,7675,201,4,Elementary,83.40661,Elementary
247,47,341497004102,Shrewsbury,7702,201,4,Elementary,83.40661,Elementary
248,48,340228005186,Bridgewater,8807,201,4,Elementary,83.40661,Elementary
249,49,340885005975,Lodi,7644,201,4,Elementary,83.40661,Elementary
250,0,341776005784,Westfield,7090,251,4,Elementary,81.22892,Elementary
251,1,340408002980,Ringoes,8551,251,4,Elementary,81.22892,Elementary
252,2,341776005780,Westfield,7090,251,4,Elementary,81.22892,Elementary
253,3,340306004196,Chester,7930,251,4,Elementary,81.22892,Elementary
254,4,340612005218,Green Brook,8812,251,4,Elementary,81.22892,Elementary
255,5,341059000398,Skillman,8558,251,4,Elementary,81.22892,Elementary
256,6,341290004482,Pequannock,7440,251,4,Elementary,81.22892,Elementary
257,7,341341006034,Princeton,8540,251,4,Elementary,81.22892,Elementary
258,8,340531000450,Fort Lee,7024,251,4,Elementary,81.22892,Elementary
259,9,340150000270,Bergenfield,7621,251,4,Elementary,81.22892,Elementary
260,10,341188002384,Nutley,7110,251,4,Elementary,81.22892,Elementary
261,11,340519002984,Flemington,8822,251,4,Elementary,81.22892,Elementary
262,12,340183001988,Bloomfield,7003,251,4,Elementary,81.22892,Elementary
263,13,341191000668,Oakland,7436,251,4,Elementary,81.22892,Elementary
264,14,341467005686,Scotch Plains,7076,251,4,Elementary,81.22892,Elementary
265,15,341689004134,Wall,7719,251,4,Elementary,81.22892,Elementary
266,16,340537000462,Franklin Lakes,7417,251,4,Elementary,81.22892,Elementary
267,17,340951000704,Columbus,8022,251,4,Elementary,81.22892,Elementary
268,18,341305003576,Piscataway,8854,251,4,Elementary,81.22892,Elementary
269,19,341710003252,Robbinsville,8691,251,4,Elementary,81.22892,Elementary
270,20,340609005350,Greendell,7839,251,4,Elementary,81.22892,Elementary
271,21,341683006061,Voorhees,8043,251,4,Elementary,81.22892,Elementary
272,22,341404001238,Riverton,8077,251,4,Elementary,81.22892,Elementary
273,23,341836000940,Wyckoff,7481,251,4,Elementary,81.22892,Elementary
274,24,340630005820,Hackettstown,7840,251,4,Elementary,81.22892,Elementary
