,Unnamed: 0,School ID,City,Zip Code,2019 Rank,2019 Rank Level,2019 Avg Score,School Level
179,29,341206004066,Asbury Park,7712,106.0,Elementary,89.43088,Elementary
180,30,341698005310,Warren,7059,106.0,Elementary,89.43088,Elementary
181,31,341770003262,West Windsor,8550,106.0,Elementary,89.43088,Elementary
182,32,341188002388,Nutley,7110,106.0,Elementary,89.43088,Elementary
183,33,340939003928,Manalapan,7726,106.0,Elementary,89.43088,Elementary
184,34,340002400289,Newark,7102,106.0,Elementary,89.43088,Other
185,35,340411003302,East Brunswick,8816,106.0,Elementary,89.43088,Elementary
186,36,341248000241,Mount Tabor,7878,106.0,Elementary,89.43088,Elementary
187,37,340882002134,Livingston,7039,106.0,Elementary,89.43088,Elementary
188,38,341290004474,Pompton Plains,7444,106.0,Elementary,89.43088,Elementary
189,39,340537000532,Franklin Lakes,7417,106.0,Elementary,89.43088,Elementary
190,40,340735002756,Hoboken,7030,106.0,Elementary,89.43088,Elementary
191,41,340867000150,Linwood,8221,106.0,Elementary,89.43088,Elementary
192,42,341698000244,Warren,7059,106.0,Elementary,89.43088,Elementary
193,43,340381006085,Demarest,7627,106.0,Elementary,89.43088,Elementary
194,44,340723005232,Hillsborough,8844,106.0,Elementary,89.43088,Elementary
195,45,341050002982,Monroe Township,8831,106.0,Elementary,89.43088,Elementary
196,46,341521003614,Kendall Park,8824,106.0,Elementary,89.43088,Elementary
197,47,340073103022,Roebling,8554,106.0,Elementary,89.43088,Elementary
198,48,341782000914,Township Of Washington,7676,106.0,Elementary,89.43088,Elementary
199,49,340228005168,Bridgewater,8807,106.0,Elementary,89.43088,Elementary
200,0,341557004106,Spring Lake,7762,142.0,Elementary,86.89605,Elementary
201,1,340183002002,Bloomfield,7003,142.0,Elementary,86.89605,Elementary
202,2,340975003972,Aberdeen,7747,142.0,Elementary,86.89605,Elementary
203,3,340723005226,Hillsborough,8844,142.0,Elementary,86.89605,Elementary
204,4,340228005170,Bridgewater,8807,142.0,Elementary,86.89605,Elementary
205,5,340525004236,Florham Park,7932,142.0,Elementary,86.89605,Elementary
206,6,341371003032,Three Bridges,8887,142.0,Elementary,86.89605,Elementary
207,7,340001500259,Teaneck,7666,142.0,Elementary,86.89605,Elementary
208,8,340990004314,Mendham,7945,142.0,Elementary,86.89605,Elementary
209,9,341062000618,Montvale,7645,142.0,Elementary,86.89605,Elementary
210,10,341536003636,South Plainfield,7080,142.0,Elementary,86.89605,Elementary
211,11,340165006021,Basking Ridge,7920,142.0,Elementary,86.89605,Elementary
212,12,341617000545,Califon,7830,142.0,Elementary,86.89605,Elementary
213,13,340726000528,Hillsdale,7642,142.0,Elementary,86.89605,Elementary
214,14,341467005692,Scotch Plains,7076,142.0,Elementary,86.89605,Elementary
215,15,341011003998,Middletown,7748,142.0,Elementary,86.89605,Elementary
216,16,341761002492,West Orange,7052,142.0,Elementary,86.89605,Elementary
217,17,340753003142,Hopewell,8525,142.0,Elementary,86.89605,Elementary
218,18,341563005704,Springfield,7081,142.0,Elementary,86.89605,Elementary
219,19,341065004334,Towaco,7082,142.0,Elementary,86.89605,Elementary
220,20,341665001760,Marmora,8223,142.0,Elementary,86.89605,Elementary
221,21,341761000182,West Orange,7052,142.0,Elementary,86.89605,Elementary
222,22,340387004202,Denville,7834,142.0,Elementary,86.89605,Elementary
223,23,341686000890,Waldwick,7463,142.0,Elementary,86.89605,Elementary
224,24,341242000400,Paramus,7652,142.0,Elementary,86.89605,Elementary
225,25,341590005716,Summit,7901,142.0,Elementary,86.89605,Elementary
226,26,340723005234,Hillsborough,8844,142.0,Elementary,86.89605,Elementary
227,27,341242000696,Paramus,7652,142.0,Elementary,86.89605,Elementary
228,28,340693000514,Hasbrouck Heights,7604,142.0,Elementary,86.89605,Elementary
229,29,341248000401,Lake Hiawatha,7034,142.0,Elementary,86.89605,Elementary
230,30,340669004256,Morris Plains,7950,142.0,Elementary,86.89605,Elementary
231,31,340933000492,Mahwah,7430,142.0,Elementary,86.89605,Elementary
