Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft
0.0,0.0,17.6,97.2,247.6,857.3999999999999,70.6
0.0,0.0,26.7,106.7,280.29999999999995,1334.2000000000003,66.7
0.0,0.0,54.300000000000004,0.0,198.89999999999998,1753.5,54.300000000000004
0.0,52.5,262.5,525.2,682.7,7037.900000000001,105.0
34.1,91.6,414.20000000000005,1045.9,508.49999999999994,1629.6999999999998,731.5
0.0,0.0,0.0,247.3,1236.9,1175.0,247.3
0.0,0.0,143.3,82.0,757.1,1616.6000000000001,122.8
7.2,0.0,43.2,65.0,382.79999999999995,2326.1,130.1
0.0,0.0,42.5,41.1,209.8,2121.0,69.5
0.0,0.0,0.0,45.2,0.0,723.6,45.2
18.0,9.0,26.9,107.5,349.20000000000005,1800.0,89.6
3.2,14.3,28.599999999999998,55.400000000000006,106.0,1248.3999999999999,37.9
0.0,6.9,131.1,89.7,179.4,1724.1999999999998,82.8
0.0,0.0,17.8,26.700000000000003,115.60000000000001,1057.4,26.700000000000003
0.0,0.0,13.3,26.7,160.1,520.2,39.900000000000006
0.0,0.0,53.9,53.9,323.3,646.6,53.9
0.0,0.0,0.0,139.1,313.1,2678.3,69.6
0.0,93.0,290.59999999999997,331.2,720.6999999999999,1941.2999999999997,197.6
0.0,0.0,118.0,188.8,613.6,1085.6,94.4
0.0,0.0,0.0,107.8,242.4,1293.1999999999998,53.8
0.0,0.0,21.9,87.6,153.29999999999998,3702.1,65.69999999999999
0.0,25.4,25.4,76.19999999999999,991.4,2109.8,127.1
2.8,5.6,115.8,189.2,556.0999999999999,1631.8999999999999,206.10000000000002
0.0,9.6,19.2,230.0,239.6,939.5,28.799999999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,84.69999999999999,290.4,1355.8,96.8
0.0,0.0,36.4,182.4,419.4,4303.4,72.9
0.0,14.5,86.8,43.5,115.69999999999999,737.8,14.5
0.0,0.0,34.4,68.8,117.0,1062.8,31.0
0.0,28.200000000000003,9.4,75.20000000000002,56.4,451.2,0.0
0.0,7.800000000000001,33.8,132.79999999999998,258.0,898.8000000000001,125.0
0.0,0.0,34.5,241.3,172.3,1206.1,103.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,397.5,953.9,11526.3,0.0
0.0,28.9,0.0,86.69999999999999,86.69999999999999,2483.4,144.5
0.0,0.0,0.0,0.0,1083.0,361.0,0.0
0.0,46.2,9.2,134.1,138.8,522.7,27.800000000000004
0.0,32.5,38.1,114.4,294.1,1263.6999999999998,92.5
0.0,26.2,26.2,104.8,314.4,3432.8999999999996,26.2
0.0,0.0,18.0,36.0,332.2,2558.7000000000003,9.0
0.0,0.0,0.0,0.0,776.3,3541.9,0.0
0.0,0.0,0.0,0.0,1715.6,10048.9,122.5
0.0,98.5,0.0,0.0,394.1,689.7,0.0
0.0,0.0,0.0,356.6,356.5,1247.8,0.0
0.0,0.0,158.8,417.09999999999997,933.4,5302.799999999999,79.5
0.0,64.2,0.0,481.40000000000003,609.8,1412.1000000000001,0.0
8.2,69.7,467.40000000000003,368.99999999999994,1070.2,2251.3,155.8
7.2,50.400000000000006,179.60000000000002,230.0,553.2,3322.9,100.60000000000001
1.7,46.400000000000006,81.30000000000001,190.6,409.4,2040.4,68.0
2.8,24.900000000000002,66.4,121.9,194.0,972.8999999999999,241.20000000000002
0.0,0.0,21.6,41.4,114.2,880.3000000000001,120.2
0.0,12.5,0.0,75.0,187.5,512.5,12.5
0.0,0.0,0.0,0.0,106.30000000000001,2098.8,146.1
0.0,0.0,8.0,39.9,31.8,397.9,16.0
4.6,40.3,157.89999999999998,222.89999999999998,233.6,899.0,250.60000000000002
0.0,0.0,0.0,0.0,94.8,474.09999999999997,189.6
0.0,26.2,0.0,26.2,275.5,1075.8,65.5
11.0,25.799999999999997,341.2,118.0,328.20000000000005,1042.0,497.9
0.0,10.2,3.4,6.7,83.80000000000001,902.1,87.2
8.1,12.2,48.7,8.2,77.1,1327.4,162.3
0.0,0.0,24.6,4.9,113.5,1846.8999999999999,182.70000000000002
2.6,23.1,43.800000000000004,79.80000000000001,272.59999999999997,861.4000000000001,90.10000000000002
0.0,14.9,0.0,59.6,148.9,119.20000000000002,59.6
0.0,0.0,21.0,77.0,98.0,405.6,73.5
13.2,42.7,315.2,252.90000000000003,459.8,1106.7,518.8
0.0,0.0,0.0,34.0,0.0,443.1,119.30000000000001
0.0,0.0,53.3,23.6,124.3,1380.3000000000002,148.0
0.0,0.0,0.0,7.4,37.2,290.2,37.2
0.0,9.2,0.0,9.2,64.1,384.80000000000007,45.900000000000006
0.0,35.300000000000004,33.2,122.69999999999999,166.4,1106.7,126.89999999999999
