#,Zip Code,Location,City,Population,Avg. Income/H/hold,National Rank
114,7748,"40.396300, -74.115274","Middletown, New Jersey",28689,"$80,284.00",#827
115,8810,"40.381447, -74.480194","Dayton, New Jersey",7235,"$80,104.00",#834
116,8750,"40.134189, -74.043885","Sea Girt, New Jersey",3807,"$79,954.00",#845
117,7435,"41.055240, -74.429164","Newfoundland, New Jersey",2155,"$79,762.00",#850
118,7821,"40.965937, -74.754393","Andover, New Jersey",8654,"$79,729.00",#851
119,7040,"40.728871, -74.268007","Maplewood, New Jersey",23829,"$79,683.00",#852
120,7430,"41.082067, -74.183061","Mahwah, New Jersey",24062,"$79,500.00",#861
121,8553,"40.398244, -74.643362","Rocky Hill, New Jersey",662,"$79,469.00",#863
122,8827,"40.668619, -74.968085","Hampton, New Jersey",4350,"$79,393.00",#869
123,7981,"40.820381, -74.422399","Whippany, New Jersey",8364,"$79,269.00",#873
124,7009,"40.858023, -74.229791","Cedar Grove, New Jersey",12300,"$78,863.00",#894
125,7076,"40.628693, -74.376459","Scotch Plains, New Jersey",19584,"$78,742.00",#901
126,8248,"39.194835, -74.660373","Strathmere, New Jersey",175,"$78,709.00",#902
127,8057,"39.979664, -74.941312","Moorestown, New Jersey",19325,"$78,441.00",#912
128,7834,"40.885954, -74.489332","Denville, New Jersey",17166,"$78,074.00",#934
129,8822,"40.521629, -74.860058","Flemington, New Jersey",28787,"$77,639.00",#950
130,8802,"40.676357, -75.025821","Asbury, New Jersey",3933,"$77,079.00",#976
131,7652,"40.945123, -74.071337","Paramus, New Jersey",25737,"$76,918.00",#985
132,7444,"40.967407, -74.306967","Pompton Plains, New Jersey",9227,"$76,854.00",#989
133,7405,"40.982158, -74.362173","Butler, New Jersey",16771,"$76,750.00","#1,000"
134,7432,"40.995809, -74.141262","Midland Park, New Jersey",6947,"$76,462.00","#1,017"
135,7016,"40.656391, -74.304830","Cranford, New Jersey",22578,"$76,338.00","#1,027"
136,7836,"40.842413, -74.703258","Flanders, New Jersey",12217,"$76,040.00","#1,043"
137,8816,"40.426247, -74.418244","East Brunswick, New Jersey",45551,"$75,891.00","#1,052"
138,7438,"41.031435, -74.518212","Oak Ridge, New Jersey",11901,"$75,813.00","#1,057"
139,7005,"40.930427, -74.415660","Boonton, New Jersey",15044,"$75,762.00","#1,058"
140,7480,"41.089631, -74.380807","West Milford, New Jersey",16029,"$75,691.00","#1,065"
141,7463,"41.013615, -74.125919","Waldwick, New Jersey",9622,"$75,532.00","#1,073"
142,7822,"41.143715, -74.701913","Augusta, New Jersey",843,"$75,525.00","#1,074"
143,7866,"40.962761, -74.485745","Rockaway, New Jersey",22450,"$75,453.00","#1,084"
144,8826,"40.726367, -74.894441","Glen Gardner, New Jersey",6003,"$75,371.00","#1,090"
145,8515,"40.149291, -74.661437","Chesterfield, New Jersey",290,"$75,304.00","#1,093"
146,8691,"40.211209, -74.588918","Trenton, New Jersey",11010,"$74,924.00","#1,123"
147,7666,"40.890317, -74.011478","Teaneck, New Jersey",39260,"$74,903.00","#1,125"
148,7976,"40.729572, -74.492095","New Vernon, New Jersey",729,"$74,750.00","#1,134"
149,7630,"40.974575, -74.026019","Emerson, New Jersey",7197,"$74,556.00","#1,149"
150,8804,"40.649071, -75.089909","Bloomsbury, New Jersey",1955,"$74,500.00","#1,152"
151,7647,"41.006364, -73.942772","Northvale, New Jersey",4851,"$74,423.00","#1,156"
152,7044,"40.832415, -74.242092","Verona, New Jersey",13948,"$74,284.00","#1,160"
153,7848,"41.097903, -74.680163","Lafayette, New Jersey",4409,"$74,112.00","#1,171"
154,8840,"40.543139, -74.358981","Metuchen, New Jersey",15705,"$73,461.00","#1,222"
155,8736,"40.120018, -74.053257","Manasquan, New Jersey",12946,"$73,353.00","#1,228"
156,7081,"40.697899, -74.334520","Springfield, New Jersey",14630,"$73,100.00","#1,249"
157,8062,"39.715505, -75.230177","Mullica Hill, New Jersey",10492,"$73,070.00","#1,250"
158,7465,"41.054855, -74.332764","Wanaque, New Jersey",5274,"$73,048.00","#1,254"
159,8690,"40.227147, -74.657009","Trenton, New Jersey",18624,"$72,920.00","#1,264"
160,7737,"40.409528, -74.063028","Leonardo, New Jersey",4426,"$72,718.00","#1,278"
161,7747,"40.413448, -74.249764","Matawan, New Jersey",29000,"$72,468.00","#1,293"
162,7605,"40.863391, -73.988471","Leonia, New Jersey",8914,"$72,440.00","#1,294"
163,8033,"39.892421, -75.036651","Haddonfield, New Jersey",16531,"$72,340.00","#1,303"
164,8501,"40.151633, -74.560497","Allentown, New Jersey",4908,"$72,295.00","#1,306"
165,7410,"40.935833, -74.117504","Fair Lawn, New Jersey",31637,"$72,127.00","#1,318"
166,7310,"40.731082, -74.038712","Jersey City, New Jersey",6416,"$72,076.00","#1,321"
167,7764,"40.287904, -74.020019","West Long Branch, New Jersey",8258,"$71,852.00","#1,344"
168,8850,"40.448582, -74.441418","Milltown, New Jersey",8461,"$71,817.00","#1,347"
169,7661,"40.927354, -74.039611","River Edge, New Jersey",10946,"$71,792.00","#1,348"
170,8852,"40.387313, -74.545983","Monmouth Junction, New Jersey",13712,"$71,712.00","#1,354"
171,8514,"40.134234, -74.491720","Cream Ridge, New Jersey",3096,"$71,711.00","#1,355"
172,7757,"40.314075, -74.017690","Oceanport, New Jersey",5542,"$71,458.00","#1,369"
173,7755,"40.263513, -74.022060","Oakhurst, New Jersey",6724,"$71,331.00","#1,383"
174,7980,"40.676874, -74.500450","Stirling, New Jersey",2499,"$71,250.00","#1,398"
175,7921,"40.656019, -74.678657","Bedminster, New Jersey",7896,"$71,219.00","#1,401"
