ORINumber,City,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft
NJ0121100,MIDDLESEX BORO PD,13704.0,0.0,7.3,21.9,51.1,94.9,591.1,43.8
NJ0122600,MIDDLESEX CO COLLEGE PD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJ0121200,MILLTOWN PD,7099.0,0.0,0.0,28.2,0.0,42.3,1549.5,0.0
NJ0121300,MONROE TWP PD,45597.0,0.0,2.2,0.0,8.8,35.1,280.7,30.7
NJ0121400,NEW BRUNSWICK PD,56577.0,3.5,53.0,251.0,238.6,406.5,1603.1,129.0
NJ0121500,NORTH BRUNSWICK TWP PD,42205.0,0.0,11.8,56.9,56.9,213.2,1331.6,73.5
NJ0120900,OLD BRIDGE TWP PD,66321.0,0.0,1.5,18.1,22.6,73.9,592.6,72.4
NJ0121600,PERTH AMBOY PD,52347.0,1.9,0.0,101.2,212.0,240.7,1012.5,124.2
NJ0121700,PISCATAWAY TWP PD,57342.0,0.0,10.5,31.4,52.3,122.1,558.1,61.0
NJ0121800,PLAINSBORO TWP PD,23243.0,0.0,0.0,0.0,43.0,51.6,438.8,17.2
NJ0123000,RUTGERS UNIVERSITY PD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJ0121900,SAYREVILLE PD,45062.0,0.0,6.7,13.3,77.7,68.8,523.7,75.5
NJ0122000,SOUTH AMBOY PD,8764.0,0.0,0.0,11.4,57.1,216.8,775.9,114.1
NJ0122100,SOUTH BRUNSWICK TWP PD,46340.0,0.0,10.8,15.1,23.7,99.3,472.6,23.7
NJ0122200,SOUTH PLAINFIELD PD,24238.0,0.0,0.0,20.6,74.3,140.3,1398.6,99.0
NJ0122300,SOUTH RIVER PD,16159.0,0.0,18.6,12.4,86.6,99.0,631.2,24.8
NJ0122400,SPOTSWOOD PD,8364.0,0.0,0.0,0.0,12.0,83.7,633.7,12.0
NJ0122500,WOODBRIDGE TWP PD,100884.0,0.0,5.9,31.7,74.3,140.8,1313.4,86.2
NJ0133000,ABERDEEN TWP PD,18378.0,0.0,10.9,10.9,38.1,97.9,745.5,43.5
NJ0130100,ALLENHURST PD,488.0,0.0,0.0,0.0,0.0,0.0,819.7,614.8
NJ0130200,ALLENTOWN BORO PD,1809.0,0.0,0.0,0.0,0.0,55.3,221.1,0.0
NJ0130300,ASBURY PARK PD,15717.0,19.1,63.6,343.6,680.8,642.6,3423.0,89.1
NJ0130500,ATLANTIC HIGHLANDS PD,4302.0,0.0,0.0,0.0,23.2,46.5,883.3,0.0
NJ0130600,AVON-BY-THE-SEA PD,1780.0,0.0,0.0,0.0,56.2,168.5,1460.7,112.4
NJ0130700,BELMAR PD,5666.0,0.0,52.9,35.3,17.6,282.4,1111.9,70.6
NJ0130800,BRADLEY BEACH PD,4214.0,0.0,23.7,0.0,0.0,47.5,1257.7,0.0
NJ0130900,BRIELLE PD,4719.0,0.0,0.0,0.0,0.0,84.8,296.7,106.0
NJ0135600,BROOKDALE COLLEGE PD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJ0130400,COLTS NECK PD,9944.0,50.3,0.0,10.1,20.1,80.5,291.6,140.8
NJ0131000,DEAL PD,730.0,0.0,0.0,0.0,274.0,274.0,1643.8,1232.9
NJ0131100,EATONTOWN PD,12364.0,0.0,80.9,64.7,97.1,137.5,2062.4,40.4
NJ0131200,ENGLISHTOWN PD,1959.0,0.0,102.1,0.0,204.2,102.1,765.7,153.1
NJ0131300,FAIR HAVEN PD,5927.0,0.0,0.0,0.0,16.9,16.9,320.6,50.6
NJ0131500,FREEHOLD BORO PD,11873.0,0.0,8.4,59.0,67.4,345.3,682.2,59.0
NJ0131600,FREEHOLD TWP PD,34896.0,5.7,14.3,25.8,71.6,74.5,1174.9,43.0
NJ0133900,HAZLET TWP PD,19970.0,0.0,20.0,20.0,75.1,65.1,936.4,40.1
NJ0131700,HIGHLANDS PD,4794.0,0.0,0.0,0.0,20.9,83.4,500.6,0.0
