,School ID,School Name,City,Zip Code,Address,2018 Rank,2018 Rank Stars,2018 Rank Level,2018 Avg Score,2019 Rank,2019 Rank Stars,2019 Rank Level,2019 Avg Score,2019 Student Count,Low Grade,High Grade,School Level
33,340927003502,Cheesequake Elementary School,Matawan,07747,111 Route 34,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
34,341782000910,Berkeley Elementary,Westwood,07675,47 Berkeley Ave,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
35,341065004338,Hilldale School,Pine Brook,07058,123 Konner Avenue,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
36,340597000482,Alexander Hamilton School,Glen Rock,07452,380 Harristown Road,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
37,340882002136,Harrison Elementary School,Livingston,07039,148 N Livingston Ave,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
38,341728004970,Albert Payson Terhune Elementary,Wayne,07470,40 Geoffrey Way,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,PK,5,Elementary
39,340594002098,Ridgewood Avenue School,Glen Ridge,07028,235 Ridgewood Ave,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,3,6,Elementary
40,340972003952,Robertsville Elementary School,Morganville,07751,36 Menzel Lane,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,1,5,Elementary
41,341290004472,Hillview School,Pompton Plains,07444,206 Boulevard,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
42,340153005442,William Woodruff School,Berkeley Hts,07922,Briarwood Dr West,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,2,5,Elementary
43,340000406019,Southern Boulevard School,Chatham,07928,192 Southern Boulevard,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,PK,3,Elementary
44,340882002142,Riker Hill Elementary School,Livingston,07039,31 Blackstone Dr,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
45,341683001676,Edward T. Hamilton,Voorhees,08043,23 Northgate Drive,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
46,340939003926,Clark Mills School,Manalapan,07726,34 Gordons Corner Road,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
47,341770003260,Dutch Neck Elementary School,West Windsor,08550,392 Village Road East,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,3,Elementary
48,340165005128,Oak Street School,Basking Ridge,07920,70 West Oak Street,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
49,341611000868,Malcolm S Mackay School,Tenafly,07670,111 Jefferson Avenue,51,5,Elementary,92.38975,17,5,Elementary,95.31042,,K,5,Elementary
0,340300001422,A. Russell Knight Elementary School,Cherry Hill,08034,140 Old Carriage Rd.,101,5,Elementary,89.23322,176,4,Elementary,85.21241,359.0,K,5,Elementary
